geo_id,state_fips,county_fips,county,area_km2,northmost,southmost,eastmost,westmost,bbox_area_km2,occupied_raw,occupied
0500000US17079,17,079,Jasper,1280.7809,39.174882,38.847521,-87.945923,-88.36176,1307.8394920666283,0.979310464142759,0.979310464142759
0500000US17089,17,089,Kane,1346.95022,42.154253,41.719563,-88.238369,-88.601933,1453.5641626134072,0.9266534320564681,0.9266534320564681
0500000US17103,17,103,Lee,1877.4806399999998,41.901617,41.584949,-88.938618,-89.631494,2024.1745254869609,0.9275290328774044,0.9275290328774044
0500000US17107,17,107,Logan,1600.77281,40.325344,39.91699,-89.143457,-89.602979,1774.1690706519971,0.9022662137897179,0.9022662137897179
0500000US17121,17,121,Marion,1482.42017,38.826299,38.473878,-88.695165,-89.144388,1528.73155039841,0.9697060086276492,0.9697060086276492
0500000US17129,17,129,Menard,814.39183,40.15487,39.901925,-89.578289,-89.994724,997.2806093059534,0.8166125184834058,0.8166125184834058
0500000US17139,17,139,Moultrie,870.09237,39.792146,39.447041,-88.470505,-88.812709,1124.7707739289115,0.7735730605452166,0.7735730605452166
0500000US17145,17,145,Perry,1144.16099,38.219271,37.950311,-89.129637,-89.595084,1218.3103105985203,0.9391375744311867,0.9391375744311867
0500000US17155,17,155,Putnam,414.81699,41.310187,41.103665,-89.162238,-89.466534,584.5812799652787,0.709596773308646,0.709596773308646
0500000US17169,17,169,Schuyler,1132.53707,40.284394,39.981658,-90.199556,-90.913616,2043.5031076996374,0.5542135295673184,0.5542135295673184
0500000US17175,17,175,Stark,746.12461,41.234483,40.973707,-89.638429,-89.985479,843.1855426350556,0.8848878120802112,0.8848878120802112
0500000US17179,17,179,Tazewell,1680.84266,40.748257,40.319218,-89.26374,-89.92468,2664.746576208519,0.6307701734217267,0.6307701734217267
0500000US17189,17,189,Washington,1457.0614799999998,38.516522,38.212896,-89.143898,-89.704417,1649.9015836760263,0.8831202384530273,0.8831202384530273
0500000US17203,17,203,Woodford,1366.99941,40.92774,40.594329,-88.929331,-89.554994,1953.6139110642373,0.6997285401470767,0.6997285401470767
0500000US18009,18,009,Blackford,427.5572,40.567242,40.379034,-85.201146,-85.447014,435.2415723801932,0.9823445808768453,0.9823445808768453
0500000US18011,18,011,Boone,1095.34467,40.180778,39.92277,-86.239739,-86.695804,1113.666260577695,0.98354840114471,0.98354840114471
0500000US18021,18,021,Clay,926.0337799999999,39.607137,39.167965,-86.939981,-87.240737,1262.1945471020986,0.733669609115411,0.733669609115411
0500000US18033,18,033,DeKalb,939.71416,41.530135,41.264209,-84.803582,-85.194084,963.1618909670759,0.9756554622987285,0.9756554622987285
0500000US13125,13,125,Glascock,372.2866,33.32727,33.126331,-82.431957,-82.755846,673.133966995133,0.553064647237883,0.553064647237883
0500000US13129,13,129,Gordon,921.5427199999999,34.634128,34.392446,-84.653232,-85.086761,1067.4751226245062,0.8632919872964203,0.8632919872964203
0500000US13131,13,131,Grady,1177.2249299999999,31.078883,30.675954,-84.076964,-84.380719,1298.8073743092486,0.9063891638481721,0.9063891638481721
0500000US13139,13,139,Hall,1017.3053799999999,34.505494,34.098281,-83.615251,-84.062841,1861.6335871502154,0.5464584368384161,0.5464584368384161
0500000US13157,13,157,Jackson,879.72717,34.295276,33.965912,-83.360028,-83.817682,1542.726083520017,0.5702419758099497,0.5702419758099497
0500000US13169,13,169,Jones,1020.2864699999999,33.185352,32.844868,-83.357685,-83.816048,1618.0568287701067,0.6305628157544534,0.6305628157544534
0500000US13175,13,175,Laurens,2090.89664,32.71576,32.147274,-82.647733,-83.226536,3433.8345423585274,0.6089101307029979,0.6089101307029979
0500000US13187,13,187,Lumpkin,732.7964699999999,34.740859,34.418389,-83.843405,-84.19104,1141.199783177842,0.6421281188464812,0.6421281188464812
0500000US13197,13,197,Marion,947.9477699999999,32.562083,32.134058,-84.392316,-84.65892,1191.9735916787552,0.7952758153516862,0.7952758153516862
0500000US13201,13,201,Miller,731.47039,31.258967,31.06919,-84.537101,-84.922423,773.6672472396825,0.9454586485466019,0.9454586485466019
0500000US13217,13,217,Newton,704.89699,33.744203,33.368278,-83.674644,-84.044493,1432.5841877603978,0.4920457701700497,0.4920457701700497
0500000US13225,13,225,Peach,389.19152999999994,32.692622,32.468514,-83.70109,-84.00849,717.7473927131115,0.5422402560444584,0.5422402560444584
0500000US13233,13,233,Polk,803.75729,34.100668,33.901697,-84.922742,-85.421731,1017.7001746436829,0.789778080053304,0.789778080053304
0500000US13243,13,243,Randolph,1109.13124,31.924465,31.618669,-84.535527,-84.95864,1360.054924936826,0.8155047415099935,0.8155047415099935
0500000US13253,13,253,Seminole,609.23534,31.07548,30.711487,-84.730855,-85.022121,1124.8715585371892,0.5416043595166231,0.5416043595166231
0500000US13265,13,265,Taliaferro,504.03472,33.733333,33.443543,-82.679975,-83.014038,997.113521086681,0.5054938172442888,0.5054938172442888
0500000US13277,13,277,Tift,670.5898500000001,31.596466,31.326263,-83.338728,-83.65409,898.7013233760096,0.7461765467095351,0.7461765467095351
0500000US13285,13,285,Troup,1072.22892,33.224693,32.870525,-84.861768,-85.236509,1375.5228884932264,0.779506418228009,0.779506418228009
0500000US13293,13,293,Upson,837.70183,32.993729,32.690018,-84.122361,-84.52702,1276.6968349053698,0.6561478082320862,0.6561478082320862
0500000US13303,13,303,Washington,1757.19068,33.238348,32.759358,-82.510851,-83.073648,2795.407647663244,0.6285990815932991,0.6285990815932991
0500000US20027,20,027,Clay,1671.32959,39.567018,39.131961,-96.958859,-97.371154,1715.0165565491313,0.9745267960345316,0.9745267960345316
0500000US20029,20,029,Cloud,1852.7357799999997,39.654043,39.306011,-97.368374,-97.931844,1871.506168348158,0.9899704373591642,0.9899704373591642
0500000US20039,20,039,Decatur,2314.20903,40.00227,39.56689,-100.177795,-100.740873,2329.3031261352976,0.9935199090380559,0.9935199090380559
0500000US20049,20,049,Elk,1668.64635,37.607015,37.299232,-95.961002,-96.52569,1705.936568314463,0.9781409115631378,0.9781409115631378
